Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
1,1,256,1,8,4,8,0,0.046013
1,32,16,1,2,1,64,0,0.045617
0,4,1,128,2,2,32,0,0.866554
1,64,2,8,2,16,2,0,0.046285
1,1,64,1,256,1,4,0,0.046787
1,2,64,4,4,16,2,0,0.046416
1,2,16,4,32,4,4,0,0.047263
1,2,2,16,8,4,32,0,0.047463
1,256,1,1,2,8,16,0,0.047305
1,4,2,128,16,1,4,0,0.047971
1,4,4,16,64,4,1,0,0.047143
0,1,128,4,1,8,16,0,0.764664
1,16,2,16,16,2,4,0,0.046498
1,8,2,4,64,4,4,0,0.047759
1,1,16,16,128,2,1,0,0.047215
1,1,2,256,32,4,1,0,0.04637
1,16,16,8,1,32,1,0,0.048386
1,4,4,4,4,128,2,0,0.047438
1,16,8,1,256,2,1,0,0.047085
1,1,1,128,512,1,1,0,0.046684
1,64,4,4,16,4,1,0,0.046076
1,2,1,32,16,32,2,0,0.04788
1,8,2,64,32,1,2,0,0.046121
1,2,512,1,2,2,16,0,0.047426
1,2,64,4,16,8,1,0,0.046457
1,4,8,4,4,64,2,0,0.046932
1,2,16,16,32,1,4,0,0.046112
1,2,8,8,1,128,4,0,0.047561
1,512,2,1,2,2,16,0,0.046647
0,8,8,1,8,16,8,0,0.958349
0,2,1024,1,1,1,32,0,0.694583
1,64,1,16,1,16,4,0,0.04705
1,1,256,8,1,4,8,0,0.047707
1,8,8,2,2,4,64,0,0.047009
1,64,8,2,8,8,1,0,0.047125
1,16,2,4,1,32,16,0,0.047238
1,16,2,8,8,4,8,0,0.046795
1,16,2,4,1,64,8,0,0.047144
1,8,2,16,128,1,2,0,0.047276
1,8,2,64,2,4,8,0,0.046728
1,2048,1,1,16,1,2,0,0.047553
1,128,4,2,2,1,32,0,0.046592
1,4,64,2,4,1,32,0,0.046563
1,1,1,128,64,8,1,0,0.046907
1,1,4,64,1,4,64,0,0.047339
1,1,256,2,16,4,2,0,0.045438
0,2,8,4,32,4,8,0,1.006127
0,1,1,64,512,1,2,0,0.988277
1,8,4,16,8,2,8,0,0.047456
1,256,2,1,8,16,1,0,0.04657
1,4,4,32,4,2,16,0,0.046885
1,4,4,4,4,32,8,0,0.046635
1,4,16,2,64,4,2,0,0.047591
1,8,2,4,32,32,1,0,0.047255
1,4,64,2,2,16,4,0,0.046825
1,4,8,64,2,16,1,0,0.047733
1,1,4,32,256,1,2,0,0.047427
1,1,128,4,16,4,2,0,0.047322
0,2,64,2,2,128,1,0,0.845781
0,8,2,16,1,16,16,0,0.879808
1,1,32,4,1,16,32,0,0.046596
1,4,8,8,8,8,4,0,0.047659
1,8,64,1,32,4,1,0,0.046614
1,64,8,1,2,64,1,0,0.045752
1,1,4,32,4,16,8,0,0.046877
1,256,1,2,4,4,8,0,0.047625
1,4,128,4,2,16,1,0,0.047972
1,32,1,2,2,32,16,0,0.046581
1,64,2,4,64,2,1,0,0.04592
0,8,128,2,8,1,4,0,0.710591
1,2,2,512,4,4,2,0,0.047346
1,8,4,2,2,128,4,0,0.047284
1,1,8,8,1,128,8,0,0.047253
1,8,2,64,8,8,1,0,0.046834
1,16,1,128,8,2,2,0,0.047047
1,4,2,16,4,128,1,0,0.047007
1,1,256,1,2,16,8,0,0.046804
1,1,64,1,32,32,1,0,0.046445
1,32,8,1,16,1,16,0,0.046062
1,4,64,8,1,2,16,0,0.047754
1,2,16,16,1,2,64,0,0.046512
1,2,2,64,8,8,4,0,0.046829
1,16,2,16,1,16,8,0,0.046174
1,16,1,16,4,64,1,0,0.046918
1,2,2,256,1,2,32,0,0.046768
1,1,64,8,1,64,2,0,0.046412
1,32,8,8,2,2,8,0,0.047881
1,1,4,64,256,1,1,0,0.047394
1,16,16,8,4,2,4,0,0.048459
1,64,2,2,64,2,2,0,0.047113
1,2,8,64,4,16,1,0,0.046579
1,16,8,1,1,32,16,0,0.506202
1,32,2,16,1,64,1,0,0.046083
1,64,1,4,128,2,1,0,0.046813
1,8,32,1,1,64,4,0,0.090514
1,8,8,1,16,2,32,0,0.047502
1,2,16,32,1,16,4,0,0.047536
1,32,4,16,2,2,8,0,0.048617
1,2,1,512,2,32,1,0,0.046446
1,1,1,1024,8,1,8,0,0.046312
1,16,64,1,2,32,1,0,0.047098
1,2,2,32,8,8,8,0,0.047247
