gx,gy,gz,bx,by,bz,smefficiency
32,1,1,2,2,32,10.69
1,4,4,8,32,1,10.41
16,1,4,2,8,4,10.65
8,2,2,4,4,8,10.74
1,16,1,1,32,8,10.49
1,8,1,4,32,4,10.13
1,4,4,4,16,4,10.56
16,1,2,2,8,8,10.63
1,2,8,4,4,16,10.55
4,2,4,8,1,16,10.7
2,8,2,2,16,4,11.56
16,4,2,1,4,8,18.22
1,4,4,2,16,8,10.55
32,1,4,2,1,16,18.34
2,2,1,8,4,32,8.7
1,16,1,8,32,1,10.59
16,1,8,4,1,8,18.37
64,1,1,2,1,32,10.52
2,4,8,32,2,1,10.56
1,1,8,2,128,2,9.62
8,2,1,64,1,4,10.51
4,16,2,8,4,1,18.2
8,4,2,2,16,2,10.78
32,4,1,2,16,1,18.3
2,1,8,32,2,4,10.62
2,1,64,4,1,8,18.35
1,128,1,32,1,1,18.18
4,4,4,1,1,64,10.71
2,8,1,8,1,32,10.5
2,1,4,128,2,2,9.68
16,1,4,1,2,32,10.52
2,4,2,32,2,4,10.73
4,1,1,2,512,1,8.86
4,1,1,128,1,8,8.65
2,1,4,2,128,2,9.71
1,1,8,64,1,8,9.58
8,16,1,8,2,2,18.23
2,1,16,2,1,64,10.7
1,2,4,16,4,8,9.65
4,4,4,4,1,16,10.76
1,1,32,8,8,2,10.55
1,4,32,1,4,8,18.21
2,4,8,16,4,1,10.57
2,4,4,32,2,2,10.88
64,2,1,4,4,2,18.2
32,2,2,1,2,16,18.19
8,1,16,4,2,4,18.28
