Kernel,gx,gy,gz,bx,by,gpuId,ipc
1,1,8,32,16,2,2,1,0.186811
1,2,16,8,8,1,8,1,0.186137
1,32,4,2,2,4,8,1,0.187392
1,64,1,1,8,8,4,1,0.166965
1,1,64,1,2,8,16,1,0.167916
1,8,16,4,1,2,16,1,0.240079
1,4,32,4,1,8,4,1,0.235596
1,1,128,2,4,4,4,1,0.186359
0,1,4,32,32,2,2,1,0.623734
1,4,32,4,2,8,2,1,0.242376
1,1,128,2,16,1,4,1,0.186511
1,4,8,1,32,2,8,1,0.17548
1,4,16,1,32,4,2,1,0.167293
1,8,16,2,1,32,2,1,0.186497
1,1,4,8,1,16,32,1,0.175684
1,2,2,128,1,1,32,1,0.236276
1,1,2,128,2,32,1,1,0.18761
1,1,16,1,128,4,2,1,0.190983
1,1,2,32,2,64,2,1,0.167134
1,1,4,16,16,1,16,1,0.166903
1,32,2,1,64,4,1,1,0.167436
1,1,16,1,16,64,1,1,0.190587
1,16,1,8,2,2,32,1,0.168091
1,8,4,2,16,8,2,1,0.167458
1,16,4,2,8,16,1,1,0.168211
1,1,32,4,64,1,2,1,0.168354
1,4,1,128,32,1,1,1,0.237419
1,16,2,4,32,2,2,1,0.168121
1,4,8,16,1,4,8,1,0.236374
1,1,8,2,4,128,2,1,0.191002
1,64,2,1,32,1,4,1,0.167933
1,8,4,16,16,2,1,1,0.239774
1,4,16,8,1,8,4,1,0.239025
1,4,8,8,2,32,1,1,0.186459
1,2,4,4,1,256,2,1,0.175272
1,8,8,1,32,8,1,1,0.167279
1,2,4,2,2,256,2,1,0.19075
1,4,1,16,4,64,1,1,0.166921
1,32,8,2,2,2,8,1,0.240198
1,32,1,1,16,8,4,1,0.17544
1,1,4,16,4,2,32,1,0.167187
1,8,1,32,2,8,4,1,0.186662
1,1,2,8,32,16,2,1,0.191282
1,1,4,4,32,32,1,1,0.19024
1,4,4,32,1,2,16,1,0.240158
1,128,1,2,1,1,64,1,0.186343
1,2,1,64,4,8,4,1,0.167818
1,2,4,16,8,16,1,1,0.168011
1,2,4,32,2,2,16,1,0.186948
1,2,8,8,64,1,2,1,0.168062
1,64,4,2,4,1,8,1,0.237105
1,2,32,8,16,1,2,1,0.238701
1,64,2,1,64,1,2,1,0.167945
0,32,1,1,1,32,16,1,0.615393
1,1,1,256,1,16,4,1,0.187025
1,2,128,1,1,1,64,1,0.186246
1,4,4,2,2,32,8,1,0.175504
1,64,4,2,2,16,1,1,0.236022
1,4,1,8,4,32,4,1,0.175565
1,32,2,4,2,16,2,1,0.187017
1,4,32,1,16,8,1,1,0.167884
0,2,64,1,1,8,16,1,0.602492
1,8,4,2,32,8,1,1,0.167142
0,8,32,1,4,16,1,1,0.500328
1,8,2,2,64,8,1,1,0.17547
1,1,8,16,1,4,32,1,0.168428
1,64,2,2,4,4,4,1,0.186786
1,4,32,4,4,8,1,1,0.236042
0,4,2,2,4,32,8,1,0.638102
1,2,16,4,4,32,1,1,0.167981
1,2,16,8,64,1,1,1,0.186895
1,2,128,2,4,4,2,1,0.235948
1,4,4,2,2,4,64,1,0.175768
0,1,2,32,4,4,16,1,0.620503
1,1,16,2,64,8,1,1,0.175297
1,1,64,2,4,1,32,1,0.168193
