Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
0,3,4,8,1,3,32,1,0.31563
1,1,16,1,8,9,8,1,0.10582
1,2,1,12,1,16,24,1,0.131267
1,4,3,4,3,8,8,1,0.102775
1,1,2,144,1,8,4,1,0.091634
1,1,8,4,96,3,1,1,0.104446
1,1,2,12,4,2,48,1,0.130387
1,2,1,6,6,32,4,1,0.113171
1,6,4,2,1,8,24,1,0.103409
1,48,1,1,8,2,12,1,0.104173
0,6,3,16,8,4,1,1,0.314157
1,8,1,3,48,4,2,1,0.129036
1,2,9,2,16,16,1,1,0.111503
0,1,24,4,4,12,2,1,0.331518
1,8,1,3,4,24,4,1,0.131353
1,3,16,1,12,1,16,1,0.101776
1,4,18,2,8,2,4,1,0.095354
1,1,3,48,1,32,2,1,0.094621
1,4,1,12,1,16,12,1,0.102097
1,1,2,6,4,32,6,1,0.114385
1,48,3,1,2,16,2,1,0.09593
1,12,1,6,4,1,32,1,0.095683
1,24,3,1,1,128,1,1,0.097006
0,4,2,4,8,1,36,1,0.322328
1,3,2,16,4,8,3,1,0.097245
1,2,1,8,48,3,4,1,0.106595
1,12,1,1,1,192,4,1,0.114829
1,1,12,4,2,32,3,1,0.103014
1,3,8,4,8,12,1,1,0.09754
0,18,16,1,16,2,1,1,0.309955
1,72,2,2,8,4,1,1,0.09126
1,2,16,1,18,8,2,1,0.103907
1,1,48,2,8,12,1,1,0.097506
1,6,2,8,2,3,16,1,0.098667
1,12,2,4,1,96,1,1,0.097732
1,24,6,1,8,1,8,1,0.093166
1,3,8,4,4,4,6,1,0.097529
0,4,72,1,2,8,2,1,0.345862
1,1,4,6,12,2,16,1,0.131802
1,2,1,24,1,24,8,1,0.103004
1,8,1,3,1,24,16,1,0.131555
1,6,2,1,16,8,6,1,0.114496
1,2,6,1,16,3,16,1,0.11476
1,2,2,12,12,1,16,1,0.104225
1,2,8,1,18,2,16,1,0.108107
1,4,1,4,18,32,1,1,0.105285
1,1,16,2,1,48,6,1,0.104651
1,2,2,8,6,1,48,1,0.102998
1,1,1,16,1,24,24,1,0.106683
1,4,18,1,32,1,4,1,0.095971
