gx,gy,gz,bx,by,bz,gpuId,smefficiency
2048,2,1,32,2,1,0,67.21
4096,1,1,32,2,1,0,67.19
1,1,2048,64,2,1,0,35.15
1,2,1024,64,2,1,0,35.1
1,4,512,64,2,1,0,35.11
1,8,256,64,2,1,0,35.11
1,16,128,64,2,1,0,35.09
1,32,64,64,2,1,0,35.12
1,64,32,64,2,1,0,35.12
1,128,16,64,2,1,0,35.09
1,256,8,64,2,1,0,35.14
1,512,4,64,2,1,0,35.13
1,1024,2,64,2,1,0,35.15
1,2048,1,64,2,1,0,35.11
2,1,1024,64,2,1,0,35.17
2,2,512,64,2,1,0,35.16
2,4,256,64,2,1,0,35.12
2,8,128,64,2,1,0,35.14
2,16,64,64,2,1,0,35.12
2,32,32,64,2,1,0,35.12
2,64,16,64,2,1,0,35.15
2,128,8,64,2,1,0,35.15
2,256,4,64,2,1,0,35.14
2,512,2,64,2,1,0,35.14
2,1024,1,64,2,1,0,35.15
4,1,512,64,2,1,0,35.16
4,2,256,64,2,1,0,35.13
4,4,128,64,2,1,0,35.12
4,8,64,64,2,1,0,35.11
4,16,32,64,2,1,0,35.14
4,32,16,64,2,1,0,35.13
4,64,8,64,2,1,0,35.13
4,128,4,64,2,1,0,35.14
4,256,2,64,2,1,0,35.13
4,512,1,64,2,1,0,35.14
8,1,256,64,2,1,0,35.17
8,2,128,64,2,1,0,35.14
8,4,64,64,2,1,0,35.17
8,8,32,64,2,1,0,35.13
8,16,16,64,2,1,0,35.14
8,32,8,64,2,1,0,35.16
8,64,4,64,2,1,0,35.14
8,128,2,64,2,1,0,35.15
8,256,1,64,2,1,0,35.16
16,1,128,64,2,1,0,35.15
16,2,64,64,2,1,0,35.13
16,4,32,64,2,1,0,35.15
16,8,16,64,2,1,0,35.16
16,16,8,64,2,1,0,35.13
16,32,4,64,2,1,0,35.17
16,64,2,64,2,1,0,35.15
16,128,1,64,2,1,0,35.15
32,1,64,64,2,1,0,35.2
32,2,32,64,2,1,0,35.18
32,4,16,64,2,1,0,35.13
32,8,8,64,2,1,0,35.14
32,16,4,64,2,1,0,35.12
32,32,2,64,2,1,0,35.13
32,64,1,64,2,1,0,35.15
64,1,32,64,2,1,0,35.17
64,2,16,64,2,1,0,35.14
64,4,8,64,2,1,0,35.15
64,8,4,64,2,1,0,35.15
64,16,2,64,2,1,0,35.17
64,32,1,64,2,1,0,35.12
128,1,16,64,2,1,0,35.17
128,2,8,64,2,1,0,35.14
128,4,4,64,2,1,0,35.14
128,8,2,64,2,1,0,35.14
128,16,1,64,2,1,0,35.16
256,1,8,64,2,1,0,35.14
256,2,4,64,2,1,0,35.14
256,4,2,64,2,1,0,35.14
256,8,1,64,2,1,0,35.15
512,1,4,64,2,1,0,35.14
512,2,2,64,2,1,0,35.14
512,4,1,64,2,1,0,35.13
1024,1,2,64,2,1,0,35.15
1024,2,1,64,2,1,0,35.16
2048,1,1,64,2,1,0,35.12
1,1,1024,128,2,1,0,19.07
1,2,512,128,2,1,0,19.08
1,4,256,128,2,1,0,19.08
1,8,128,128,2,1,0,19.09
1,16,64,128,2,1,0,19.08
1,32,32,128,2,1,0,19.08
1,64,16,128,2,1,0,19.09
1,128,8,128,2,1,0,19.08
1,256,4,128,2,1,0,19.07
1,512,2,128,2,1,0,19.08
1,1024,1,128,2,1,0,19.07
2,1,512,128,2,1,0,19.06
2,2,256,128,2,1,0,19.1
2,4,128,128,2,1,0,19.1
2,8,64,128,2,1,0,19.1
2,16,32,128,2,1,0,19.1
2,32,16,128,2,1,0,19.09
2,64,8,128,2,1,0,19.1
2,128,4,128,2,1,0,19.1
2,256,2,128,2,1,0,19.08
2,512,1,128,2,1,0,19.1
4,1,256,128,2,1,0,19.07
4,2,128,128,2,1,0,19.1
4,4,64,128,2,1,0,19.1
4,8,32,128,2,1,0,19.1
4,16,16,128,2,1,0,19.09
4,32,8,128,2,1,0,19.09
4,64,4,128,2,1,0,19.09
4,128,2,128,2,1,0,19.08
4,256,1,128,2,1,0,19.09
8,1,128,128,2,1,0,19.05
8,2,64,128,2,1,0,19.06
8,4,32,128,2,1,0,19.07
8,8,16,128,2,1,0,19.06
8,16,8,128,2,1,0,19.09
8,32,4,128,2,1,0,19.1
8,64,2,128,2,1,0,19.07
8,128,1,128,2,1,0,19.08
16,1,64,128,2,1,0,19.07
16,2,32,128,2,1,0,19.09
16,4,16,128,2,1,0,19.1
16,8,8,128,2,1,0,19.11
16,16,4,128,2,1,0,19.1
